fecha,tipo_movimiento,bucket,display_name,producto_fuente,producto_sku,cantidad_planchas,detalle,detalle_original,origen
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7474 · Guillermo Carron Mujica,Pedido 7474 · Guillermo Carron Mujica,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,2.0,Pedido 7475 · Christian Rothbacher,Pedido 7475 · Christian Rothbacher,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7476 · REPARTO,Pedido 7476 · CESAR FRANCISCO BARRIOS ROLON,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7477 · ALAN KENNEDY,Pedido 7477 · ALAN KENNEDY,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,2.0,Pedido 7478 · Teresa Ortiz,Pedido 7478 · Teresa Ortiz,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHA 30 SUPER GRANEL,PLANCHA 30 SUPER GRANEL,1.0,Pedido 7479 · CONCEPCION SOTOMAYOR,Pedido 7479 · CONCEPCION SOTOMAYOR,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7480 · FRANCISCO GRIÑO GUILLEN,Pedido 7480 · FRANCISCO GRIÑO GUILLEN,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,4.0,Pedido 7481 · Luz triderman,Pedido 7481 · Luz triderman,ERP Pedidos
2026-05-11,salida,JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,PLANCHAS 30 JUMBO,1.0,Pedido 7482 · REPARTO,Pedido 7482 · Ana Zelaya,ERP Pedidos
2026-05-11,salida,SUPER,PLANCHA 30 SUPER,PLANCHAS 30 SUPER EMPAQUETADO,PLANCHAS 30 SUPER EMPAQUETADO,1.0,Pedido 7483 · Ezequiel Reyes,Pedido 7483 · Ezequiel Reyes,ERP Pedidos
2026-05-11,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7484 · Cesar Gonzalez,Pedido 7484 · Cesar Gonzalez,ERP Pedidos
2026-05-12,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,1.0,Pedido 7485 · SUSANA LACOGNATA,Pedido 7485 · SUSANA LACOGNATA,ERP Pedidos
2026-05-12,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,4.0,Pedido 7487 · MIGUEL ANGEL CUELLAR,Pedido 7487 · MIGUEL ANGEL CUELLAR,ERP Pedidos
2026-05-12,salida,TIPO_B,PLANCHA 30 TIPO B,PLANCHA 30 TIPO B COD. 7848000130081,PLANCHA 30 TIPO B COD. 7848000130081,500.0,Pedido 7488 · ARIEL IBARRA,Pedido 7488 · ARIEL IBARRA,ERP Pedidos
2026-05-12,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHAS 30 TIPO A GRANEL,PLANCHAS 30 TIPO A GRANEL,1000.0,Pedido 7489 · ROBERTO CARLOS RODRIGUEZ,Pedido 7489 · ROBERTO CARLOS RODRIGUEZ,ERP Pedidos
2026-05-12,salida,TIPO_A,Plancha de 30 Tipo A,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,Plancha de 30 Tipo A EMPAQUETADO COD.7848000130029,20.0,Pedido 7489 · ROBERTO CARLOS RODRIGUEZ,Pedido 7489 · ROBERTO CARLOS RODRIGUEZ,ERP Pedidos
2026-05-12,salida,TIPO_A,Plancha de 30 Tipo A,PLANCHA 12 HUEVOS TIPO A  COD.7848000130036,PLANCHA 12 HUEVOS TIPO A COD.7848000130036,8.0,Pedido 7489 · ROBERTO CARLOS RODRIGUEZ,Pedido 7489 · ROBERTO CARLOS RODRIGUEZ,ERP Pedidos
